state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,ingested_at_utc
Gujarat,Rajkot,Jasdan APMC,Mustard,Mustard,FAQ,21/04/2026,4500.0,6350.0,5500.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Rajkot,Jasdan APMC,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,21/04/2026,6500.0,9550.0,8255.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Rajkot,Jasdan APMC,Soyabean,Soyabeen,FAQ,21/04/2026,4500.0,5120.0,5000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Rajkot,Upleta APMC,Cotton,Cotton (Unginned),Local,21/04/2026,7000.0,8850.0,8000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Rajkot,Upleta APMC,Castor Seed,Castor seed,Local,21/04/2026,5900.0,6210.0,6050.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Botad,Botad APMC,Jowar(Sorghum),Local,FAQ,21/04/2026,2125.0,4495.0,3350.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Rajkot,Dhoraji APMC,Bengal Gram(Gram)(Whole),Desi (Whole),Non-FAQ,21/04/2026,4930.0,5180.0,5080.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Rajkot,Dhoraji APMC,Soyabean,Yellow,Non-FAQ,21/04/2026,5100.0,5230.0,5180.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Kachchh,Rapar APMC,Ajwan,Ajwan,Local,21/04/2026,8510.0,8510.0,8510.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Porbandar,Porbandar APMC,Guar,Gwar,Local,21/04/2026,1000.0,3000.0,2000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Porbandar,Porbandar APMC,Cauliflower,African Sarson,Local,21/04/2026,3000.0,3500.0,3250.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Porbandar,Porbandar APMC,Green Chilli,Green Chilly,Local,21/04/2026,2500.0,3000.0,2750.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Porbandar,Porbandar APMC,Potato,Red Nanital,Non-FAQ,21/04/2026,750.0,1250.0,1000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Porbandar,Porbandar APMC,Wheat,Deshi,Non-FAQ,21/04/2026,2205.0,2375.0,2290.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Porbandar,Porbandar APMC,Kulthi(Horse Gram),Horse gram (Whole),Local,21/04/2026,4750.0,5000.0,4875.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Porbandar,Porbandar APMC,Jowar(Sorghum),Other,Non-FAQ,21/04/2026,3350.0,3650.0,3500.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Porbandar,Porbandar APMC,Kabuli Chana(Chickpeas-White),Other,FAQ,21/04/2026,5500.0,7050.0,6275.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Porbandar,Porbandar APMC,Mousambi(Sweet Lime),Mousambi,Grade A,21/04/2026,3500.0,4500.0,4000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Porbandar,Porbandar APMC,Orange,Darjeeling,Grade A,21/04/2026,9000.0,10000.0,9500.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Amreli,Damnagar APMC,Guar,Gwar,Local,21/04/2026,5000.0,5000.0,5000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Amreli,Damnagar APMC,Lemon,Lemon,Local,21/04/2026,9000.0,9000.0,9000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Amreli,Damnagar APMC,Ginger(Green),Green Ginger,Local,21/04/2026,8000.0,8000.0,8000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Bhavnagar,Taleja APMC,Green Gram(Moong)(Whole),Local,FAQ,21/04/2026,7000.0,7525.0,7265.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Bhavnagar,Taleja APMC,Bajra(Pearl Millet/Cumbu),Local,FAQ,21/04/2026,1515.0,2615.0,2065.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Bhavnagar,Taleja APMC,Groundnut,Bold,FAQ,21/04/2026,6750.0,8155.0,7455.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Jamnagar,Dhrol APMC,Wheat,Other,Local,21/04/2026,1765.0,2535.0,2150.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Jamnagar,Dhrol APMC,Cummin Seed(Jeera),Other,Local,21/04/2026,11500.0,19700.0,15600.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Jamnagar,Dhrol APMC,Groundnut,Other,Local,21/04/2026,4550.0,7200.0,5875.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Rajkot,Gondal(Veg.market Gondal) APMC,Cucumbar(Kheera),Cucumbar,Local,21/04/2026,500.0,1500.0,1000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Morbi,APMC HALVAD,Mustard,Mustard,Local,21/04/2026,5500.0,6000.0,5750.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Surat,Surat APMC,Pea Pod/Pea Cod/हरी मटर,Other,FAQ,21/04/2026,5000.0,8000.0,6500.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Surat,Surat APMC,Sponge gourd,Other,FAQ,21/04/2026,1000.0,2900.0,1950.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Surat,Surat APMC,Cluster beans,Other,FAQ,21/04/2026,1500.0,4000.0,2750.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Patan,Sami APMC,Isabgul(Psyllium),Isabgul (Psyllium),Local,21/04/2026,10500.0,12750.0,11750.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Patan,Sami APMC,Wheat,Deshi,Local,21/04/2026,2500.0,4405.0,4000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Bharuch,Ankleshwar APMC,Lemon,Lemon,Grade A,21/04/2026,10000.0,15000.0,12000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Bharuch,Ankleshwar APMC,Coriander(Leaves),Coriander,Grade A,21/04/2026,2000.0,3000.0,2500.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Bharuch,Ankleshwar APMC,Cabbage,Cabbage,Grade A,21/04/2026,400.0,700.0,500.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Ahmedabad,Ahmedabad APMC,Tomato,Other,FAQ,21/04/2026,800.0,2500.0,2050.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Surat,Uchhal APMC,Maize,Other,Non-FAQ,21/04/2026,1500.0,1771.0,1740.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Rajkot,Jetpur(Dist.Rajkot) APMC,Arhar(Tur/Red Gram)(Whole),Arhar (Whole),FAQ,21/04/2026,5250.0,7150.0,7000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Morbi,Vankaner APMC,Cummin Seed(Jeera),Cummin Seed(Jeera),FAQ,21/04/2026,16500.0,20150.0,18500.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Amreli,Dhari APMC,Groundnut,Other,Non-FAQ,21/04/2026,6500.0,6500.0,6500.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Amreli,Dhari APMC,Arhar(Tur/Red Gram)(Whole),777 New Ind,Non-FAQ,21/04/2026,5000.0,7025.0,6825.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Vadodara(Baroda),Padra APMC,Cauliflower,Other,FAQ,21/04/2026,2250.0,2500.0,2400.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Vadodara(Baroda),Padra APMC,Green Chilli,Green Chilly,FAQ,21/04/2026,1500.0,3000.0,2250.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Vadodara(Baroda),Padra APMC,Cucumbar(Kheera),Other,FAQ,21/04/2026,1000.0,3500.0,2250.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Vadodara(Baroda),Padra APMC,Cabbage,Other,FAQ,21/04/2026,500.0,700.0,600.0,2026-04-28T19:31:14.006465+00:00
